=== cuMES — CUDA Magnetic Equilibrium Solver ===
input: w7x
ns=99 mnmax=156 ntheta=30 nzeta=36 nZnT=1080 nfp=5 mpol=12 ntor=12 ncurr=1
  initState: vmecpp interpFromBoundaryAndAxis (m>0 s^(m/2))
  profiles: ns=99 phip=2.769296e-01 lamscale=2.769296e-01 maxToroidalFlux=2.769296e-01
knobs: max_iter=5000 delt0=1.000 dtau_floor=0.000e+00 dump_iter=150 e2_start=560

 ITER |    FSQR        FSQZ        FSQL    |   DELT
------+------------------------------------+----------
    2 |   2.204e+00   8.373e-01   1.420e-01 | 1.00e+00 | Rax=5.9718 Rbnd=5.5586
    3 |   7.354e+01   3.778e+01   1.161e-01 | 1.00e+00 | Rax=5.9445 Rbnd=5.5586
  -> BAD JACOBIAN (iter2=3) delt=9.000e-01
    3 |   2.473e+13   3.910e+12   2.611e+04 | 9.00e-01 | Rax=5.9864 Rbnd=5.5586
    4 |   2.204e+00   8.533e-01   1.420e-01 | 9.00e-01 | Rax=5.9745 Rbnd=5.5586
    5 |   4.387e+01   2.232e+01   7.858e-02 | 9.00e-01 | Rax=5.9532 Rbnd=5.5586
  -> BAD JACOBIAN (iter2=5) delt=8.100e-01
  -> BAD JACOBIAN (iter2=8) delt=7.290e-01
  -> BAD JACOBIAN (iter2=11) delt=6.561e-01
  -> BAD JACOBIAN (iter2=15) delt=5.905e-01
   47 |   5.431e-01   2.471e-01   5.643e-03 | 5.90e-01 | Rax=5.9815 Rbnd=5.5586
  -> BAD PROGRESS (iter2=51) delt=5.733e-01
  -> BAD PROGRESS (iter2=64) delt=5.566e-01
  -> BAD PROGRESS (iter2=78) delt=5.404e-01
  -> BAD PROGRESS (iter2=91) delt=5.246e-01
   93 |   2.415e-02   1.056e-02   4.589e-05 | 5.25e-01 | Rax=5.9850 Rbnd=5.5586
  143 |   1.460e-05   6.890e-06   7.690e-07 | 5.25e-01 | Rax=5.9901 Rbnd=5.5586
  193 |   2.681e-07   1.382e-07   1.851e-07 | 5.25e-01 | Rax=5.9937 Rbnd=5.5586
  243 |   1.245e-07   4.859e-08   4.664e-08 | 5.25e-01 | Rax=5.9968 Rbnd=5.5586
  293 |   3.324e-08   1.254e-08   1.550e-08 | 5.25e-01 | Rax=5.9991 Rbnd=5.5586
  343 |   9.369e-09   3.470e-09   6.995e-09 | 5.25e-01 | Rax=6.0011 Rbnd=5.5586
  393 |   4.159e-09   1.678e-09   3.219e-09 | 5.25e-01 | Rax=6.0025 Rbnd=5.5586
  443 |   2.378e-09   8.562e-10   1.624e-09 | 5.25e-01 | Rax=6.0035 Rbnd=5.5586
  493 |   1.331e-09   4.811e-10   7.234e-10 | 5.25e-01 | Rax=6.0043 Rbnd=5.5586
  543 |   7.900e-10   2.447e-10   3.852e-10 | 5.25e-01 | Rax=6.0050 Rbnd=5.5586
  593 |   5.360e-10   1.593e-10   2.067e-10 | 5.25e-01 | Rax=6.0056 Rbnd=5.5586
  643 |   3.964e-10   1.136e-10   1.715e-10 | 5.25e-01 | Rax=6.0062 Rbnd=5.5586
  693 |   2.658e-10   7.815e-11   1.232e-10 | 5.25e-01 | Rax=6.0067 Rbnd=5.5586
  743 |   1.945e-10   5.624e-11   8.981e-11 | 5.25e-01 | Rax=6.0071 Rbnd=5.5586
  793 |   1.526e-10   4.627e-11   7.739e-11 | 5.25e-01 | Rax=6.0075 Rbnd=5.5586
  843 |   1.167e-10   3.214e-11   5.972e-11 | 5.25e-01 | Rax=6.0078 Rbnd=5.5586
  893 |   9.527e-11   2.498e-11   4.626e-11 | 5.25e-01 | Rax=6.0080 Rbnd=5.5586
  943 |   8.139e-11   2.166e-11   3.836e-11 | 5.25e-01 | Rax=6.0082 Rbnd=5.5586
  993 |   7.010e-11   1.852e-11   3.178e-11 | 5.25e-01 | Rax=6.0084 Rbnd=5.5586
 1043 |   5.851e-11   1.516e-11   2.637e-11 | 5.25e-01 | Rax=6.0086 Rbnd=5.5586
 1093 |   4.897e-11   1.295e-11   2.293e-11 | 5.25e-01 | Rax=6.0087 Rbnd=5.5586
 1143 |   4.159e-11   1.106e-11   2.011e-11 | 5.25e-01 | Rax=6.0088 Rbnd=5.5586
 1193 |   3.595e-11   9.454e-12   1.743e-11 | 5.25e-01 | Rax=6.0088 Rbnd=5.5586
 1243 |   3.249e-11   8.343e-12   1.541e-11 | 5.25e-01 | Rax=6.0089 Rbnd=5.5586
 1293 |   3.048e-11   7.510e-12   1.364e-11 | 5.25e-01 | Rax=6.0090 Rbnd=5.5586
 1343 |   2.889e-11   6.965e-12   1.207e-11 | 5.25e-01 | Rax=6.0090 Rbnd=5.5586
 1393 |   2.813e-11   6.500e-12   1.068e-11 | 5.25e-01 | Rax=6.0091 Rbnd=5.5586
 1443 |   2.732e-11   6.070e-12   9.368e-12 | 5.25e-01 | Rax=6.0091 Rbnd=5.5586
 1493 |   2.612e-11   5.469e-12   8.108e-12 | 5.25e-01 | Rax=6.0091 Rbnd=5.5586
 1543 |   2.456e-11   4.948e-12   7.051e-12 | 5.25e-01 | Rax=6.0092 Rbnd=5.5586
 1593 |   2.293e-11   4.585e-12   6.280e-12 | 5.25e-01 | Rax=6.0092 Rbnd=5.5586
 1643 |   2.108e-11   4.306e-12   5.651e-12 | 5.25e-01 | Rax=6.0092 Rbnd=5.5586
